Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Operation,Length,Shape,Mean,Error,StdDev,Ratio,RatioSD,Gen0,Allocated,Alloc Ratio
Builder,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Scriban,4096,Mixed,"5,137.38 ns",485.895 ns,75.193 ns,0.67,0.03,0.3990,7000 B,1.00
Buffer,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Scriban,4096,Mixed,"4,399.72 ns",101.392 ns,15.691 ns,0.58,0.02,0.3934,7000 B,1.00
BuilderSpan,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Scriban,4096,Mixed,"4,956.82 ns",535.021 ns,138.943 ns,0.65,0.03,0.3990,7000 B,1.00
Current,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Slug,32,Mixed,36.79 ns,3.082 ns,0.800 ns,1.00,0.03,0.0047,80 B,1.00
Builder,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Slug,32,Mixed,40.11 ns,3.137 ns,0.815 ns,1.09,0.03,0.0046,80 B,1.00
Buffer,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Slug,32,Mixed,40.21 ns,1.713 ns,0.445 ns,1.09,0.02,0.0045,80 B,1.00
BuilderSpan,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Slug,32,Mixed,41.36 ns,3.629 ns,0.942 ns,1.12,0.03,0.0048,80 B,1.00
Current,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Slug,512,Mixed,469.03 ns,51.263 ns,13.313 ns,1.00,0.04,0.0510,896 B,1.00
Builder,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Slug,512,Mixed,527.22 ns,38.743 ns,5.996 ns,1.12,0.03,0.0490,896 B,1.00
Buffer,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Slug,512,Mixed,485.94 ns,9.642 ns,2.504 ns,1.04,0.03,0.0526,896 B,1.00
BuilderSpan,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Slug,512,Mixed,543.37 ns,64.684 ns,10.010 ns,1.16,0.04,0.0500,896 B,1.00
Current,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Slug,4096,Mixed,"3,482.18 ns",260.186 ns,67.570 ns,1.00,0.03,0.3966,7000 B,1.00
Builder,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Slug,4096,Mixed,"3,977.15 ns",661.948 ns,171.906 ns,1.14,0.05,0.4177,7000 B,1.00
Buffer,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Slug,4096,Mixed,"3,477.87 ns",372.555 ns,96.751 ns,1.00,0.03,0.4139,7000 B,1.00
BuilderSpan,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Slug,4096,Mixed,"4,054.38 ns",230.049 ns,59.743 ns,1.16,0.03,0.3916,7000 B,1.00
Current,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,32,Mixed,32.62 ns,1.650 ns,0.255 ns,1.00,0.01,0.0042,72 B,1.00
Builder,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,32,Mixed,25.88 ns,1.758 ns,0.457 ns,0.79,0.01,0.0043,72 B,1.00
Buffer,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,32,Mixed,39.01 ns,3.038 ns,0.789 ns,1.20,0.02,0.0043,72 B,1.00
BuilderSpan,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,32,Mixed,28.00 ns,2.468 ns,0.641 ns,0.86,0.02,0.0043,72 B,1.00
Current,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,512,Mixed,348.79 ns,14.506 ns,3.767 ns,1.00,0.01,0.0351,632 B,1.00
Builder,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,512,Mixed,246.23 ns,11.877 ns,3.085 ns,0.71,0.01,0.0366,632 B,1.00
Buffer,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,512,Mixed,361.91 ns,25.754 ns,3.985 ns,1.04,0.01,0.0362,632 B,1.00
BuilderSpan,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,512,Mixed,325.01 ns,255.995 ns,66.481 ns,0.93,0.17,0.0376,632 B,1.00
Current,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,4096,Mixed,"2,914.35 ns",536.013 ns,139.201 ns,1.00,0.06,0.2778,4784 B,1.00
Builder,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,4096,Mixed,"1,736.11 ns",330.946 ns,85.946 ns,0.60,0.04,0.2711,4784 B,1.00
Buffer,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,4096,Mixed,"2,808.31 ns",571.274 ns,88.405 ns,0.97,0.05,0.2850,4784 B,1.00
BuilderSpan,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Tel,4096,Mixed,"1,771.74 ns",154.681 ns,40.170 ns,0.61,0.03,0.2756,4784 B,1.00
Current,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,32,Mixed,37.93 ns,8.932 ns,2.319 ns,1.00,0.08,0.0046,80 B,1.00
Builder,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,32,Mixed,30.83 ns,6.021 ns,0.932 ns,0.82,0.05,0.0047,80 B,1.00
Buffer,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,32,Mixed,32.54 ns,4.113 ns,1.068 ns,0.86,0.05,0.0046,80 B,1.00
BuilderSpan,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,32,Mixed,28.13 ns,1.054 ns,0.163 ns,0.74,0.04,0.0047,80 B,1.00
Current,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,512,Mixed,463.07 ns,93.406 ns,14.455 ns,1.00,0.04,0.0474,824 B,1.00
Builder,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,512,Mixed,316.95 ns,12.416 ns,3.225 ns,0.68,0.02,0.0484,824 B,1.00
Buffer,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,512,Mixed,320.68 ns,21.171 ns,3.276 ns,0.69,0.02,0.0490,824 B,1.00
BuilderSpan,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,512,Mixed,300.01 ns,43.999 ns,6.809 ns,0.65,0.02,0.0464,824 B,1.00
Current,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,4096,Mixed,"3,239.33 ns",152.481 ns,39.599 ns,1.00,0.02,0.3688,6400 B,1.00
Builder,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,4096,Mixed,"2,013.24 ns",234.894 ns,61.001 ns,0.62,0.02,0.3689,6400 B,1.00
Buffer,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,4096,Mixed,"2,335.87 ns",378.265 ns,98.234 ns,0.72,0.03,0.3642,6400 B,1.00
BuilderSpan,Job-XWXFEH,False,Default,Default,Default,Default,Default,Default,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessEmitToolchain,Default,Default,5,100ms,1,Default,Default,Default,Default,Default,Default,16,3,Whitespace,4096,Mixed,"2,507.25 ns",436.242 ns,113.291 ns,0.77,0.03,0.3786,6400 B,1.00
